127.0.0.1 - - [03/Sep/2021:12:23:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:15:59 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/main/main.do HTTP/1.1" 200 19993
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=356&fileName=%EB%A7%88%EC%9D%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 35250
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=354&fileName=%EB%AA%A8%EB%91%90%EC%9D%98%20%EB%94%A5%EB%9F%AC%EB%8B%9D_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 38185
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=342&fileName=%EB%B6%80%EB%8F%99%EC%83%81%20%EC%83%81%EC%8B%9D%EC%82%AC%EC%A0%84_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 42447
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/vline_grey.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=339&fileName=%EC%8B%9C%EB%82%98%EA%B3%B5%20%EC%9B%8C%EB%93%9C%ED%94%84%EB%A1%9C%EC%84%B8%EC%84%9C%20%EC%8B%A4%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 55156
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=338&fileName=%EC%BB%B4%ED%93%A8%ED%84%B0%20%ED%99%9C%EC%9A%A9%EB%8A%A5%EB%A0%A5%202%EA%B8%89%20%EC%8B%A4%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 49509
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=394&fileName=%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%EA%B0%80%EA%B8%B0%20%ED%99%8D%EC%BD%A9%20%EB%A7%88%EC%B9%B4%EC%98%A4.jpg HTTP/1.1" 200 42857
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=341&fileName=%ED%97%AC%EB%A1%9C%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=340&fileName=%EC%97%91%EC%85%80%EC%8B%A4%EB%AC%B4_%EB%A9%94%EC%9D%B8.pg.jpg HTTP/1.1" 200 26438
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=336&fileName=%EC%A7%A0%ED%85%8C%EA%B7%B8%20%EA%B0%80%EA%B3%84%EB%B6%80_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 30828
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=337&fileName=%EC%BC%80%EB%9D%BC%EC%8B%9C_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 34773
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=334&fileName=%ED%8F%AC%ED%86%A0%EC%83%B5%20%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%ED%95%98%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=335&fileName=%EC%B0%A8%ED%8A%B8%EB%B6%84%EC%84%9D%20%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%ED%95%98%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 44040
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=395&fileName=image2.jpg HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=397&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=400&fileName=main1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=350&fileName=%EC%9C%A0%EC%A7%80%EB%B3%B4%EC%88%98%EC%9E%90%EB%B0%94_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 27267
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=344&fileName=image1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=347&fileName=%EA%B0%80%EC%9E%A5%20%EB%B9%A8%EB%A6%AC%20%EB%A7%8C%EB%82%98%EB%8A%94%20%EC%9E%90%EB%B0%94_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 30193
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=398&fileName=%ED%97%AC%EB%A1%9C%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=345&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:01 +0900] "GET /bookshop01/thumbnails.do?goods_id=343&fileName=%EA%B8%B0%EC%A0%81%EC%A0%81%20%EA%B3%84%EC%82%B0%EB%B2%95_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 25133
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/member/loginForm.do HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:02 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "POST /bookshop01/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/main/main.do HTTP/1.1" 200 20114
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=356&fileName=%EB%A7%88%EC%9D%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 35250
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=354&fileName=%EB%AA%A8%EB%91%90%EC%9D%98%20%EB%94%A5%EB%9F%AC%EB%8B%9D_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 38185
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=342&fileName=%EB%B6%80%EB%8F%99%EC%83%81%20%EC%83%81%EC%8B%9D%EC%82%AC%EC%A0%84_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 42447
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/resources/imgs/vline_grey.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=337&fileName=%EC%BC%80%EB%9D%BC%EC%8B%9C_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 34773
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=341&fileName=%ED%97%AC%EB%A1%9C%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=339&fileName=%EC%8B%9C%EB%82%98%EA%B3%B5%20%EC%9B%8C%EB%93%9C%ED%94%84%EB%A1%9C%EC%84%B8%EC%84%9C%20%EC%8B%A4%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 55156
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:06 +0900] "GET /bookshop01/thumbnails.do?goods_id=338&fileName=%EC%BB%B4%ED%93%A8%ED%84%B0%20%ED%99%9C%EC%9A%A9%EB%8A%A5%EB%A0%A5%202%EA%B8%89%20%EC%8B%A4%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 49509
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=336&fileName=%EC%A7%A0%ED%85%8C%EA%B7%B8%20%EA%B0%80%EA%B3%84%EB%B6%80_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 30828
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=340&fileName=%EC%97%91%EC%85%80%EC%8B%A4%EB%AC%B4_%EB%A9%94%EC%9D%B8.pg.jpg HTTP/1.1" 200 26438
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=394&fileName=%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%EA%B0%80%EA%B8%B0%20%ED%99%8D%EC%BD%A9%20%EB%A7%88%EC%B9%B4%EC%98%A4.jpg HTTP/1.1" 200 42857
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=395&fileName=image2.jpg HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=335&fileName=%EC%B0%A8%ED%8A%B8%EB%B6%84%EC%84%9D%20%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%ED%95%98%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 44040
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=334&fileName=%ED%8F%AC%ED%86%A0%EC%83%B5%20%EB%AC%B4%EC%9E%91%EC%A0%95%20%EB%94%B0%EB%9D%BC%ED%95%98%EA%B8%B0_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 45079
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=400&fileName=main1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=344&fileName=image1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=397&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=398&fileName=%ED%97%AC%EB%A1%9C%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=347&fileName=%EA%B0%80%EC%9E%A5%20%EB%B9%A8%EB%A6%AC%20%EB%A7%8C%EB%82%98%EB%8A%94%20%EC%9E%90%EB%B0%94_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 30193
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=350&fileName=%EC%9C%A0%EC%A7%80%EB%B3%B4%EC%88%98%EC%9E%90%EB%B0%94_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 27267
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=345&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:07 +0900] "GET /bookshop01/thumbnails.do?goods_id=343&fileName=%EA%B8%B0%EC%A0%81%EC%A0%81%20%EA%B3%84%EC%82%B0%EB%B2%95_%EB%A9%94%EC%9D%B8.jpg HTTP/1.1" 200 25133
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/mypage/myPageMain.do HTTP/1.1" 200 12936
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/image/btn_more_see.jpg HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:14:16:08 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
